Location,Program,jobNumber,database,domn,outfile,countries,repestoptions,coverage,param1,param2
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_bef.do,job_ch7_96,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",read,I_B1_7_7_read_log_2018_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_bef.do,job_ch7_97,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",scie,I_B1_7_7_scie_log_2012_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_bef.do,job_ch7_98,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",scie,I_B1_7_7_scie_log_2015_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_bef.do,job_ch7_99,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",scie,I_B1_7_7_scie_log_2018_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_aft.do,job_ch7_100,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",math,I_B1_7_7_math_log_2012_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_aft.do,job_ch7_101,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",math,I_B1_7_7_math_log_2015_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_aft.do,job_ch7_102,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",math,I_B1_7_7_math_log_2018_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_aft.do,job_ch7_103,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",read,I_B1_7_7_read_log_2012_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_aft.do,job_ch7_104,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",read,I_B1_7_7_read_log_2015_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_aft.do,job_ch7_105,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",read,I_B1_7_7_read_log_2018_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_aft.do,job_ch7_106,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",scie,I_B1_7_7_scie_log_2012_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_aft.do,job_ch7_107,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",scie,I_B1_7_7_scie_log_2015_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_aft.do,job_ch7_108,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",scie,I_B1_7_7_scie_log_2018_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
#ENDOFFILE,,,,,,,,,,
